@relation sentimen_twit 
@attribute term string 
@attribute target {positif, negatif, nonopini} 
@data
"haha hal itu kirim proposal ke kntr pusat pt indosat jl medan merdeka barat nomor 21 jakarta pusat telepon 021 30003001 ",nonopini
"cieee di indosat ben yang itu punyaku ",nonopini
"pakai indosat mangkanya gabung bareng komunitas anti galau ",nonopini
"dibilang jam 5an cayaa gallery indosat pesona khayangan itu buka sampai jam berapa broh ",nonopini
"meetcomel sarmeet coba chek tarif internet cepat dari indosat ",nonopini
"beragam paket dari indosat bisa pilih nikmati di kartu indosat secara bebas nikmati sekarang ",nonopini
"searching saja di galeri indosat rasahcemburu nganggoemosi walah to sopo doraemine ",nonopini
"indosat peduli pulau buru gagas donasi via theme app di blackberry ",nonopini
"saya aktifkan pakai jok indosat pending abisnya gangguan bisa aktifkan paket ",nonopini
"rt mau vcr indosat 250rb mention nama nomor hp umur jwbx apa syarat melakukan penukaran poin indosat senyum ",nonopini
"gotham city difoto dari kantor indosat lantai 22 ",nonopini
"gila indosat setiap hari pending saja kerjaannya erghhh ",negatif
"indosat mobile mentari atau im3 ",nonopini
"kalau gratis ogah saya cup yaallah hhhe itu acara dari indosat gratis buuu ",nonopini
"memang indosat suka pending ",negatif
"hati juga dibenerin azisaluna senen baru mau ke indosat kartu saya ada sinyal ",nonopini
"haha mles ganti nomor itu mles publikasi haha lgian siwon pkenya indosat haha ",nonopini
"ampun prasaan baru selesai dari indosat tau2 nongol saja kecil ketauan hamilnya hehee congrats lucu ",nonopini
"coba indosat provider yang bagus bis blackberry apa yang ada paket harianx telkomsel ",positif
"ping galuh bacot badan gempal pakai indosat indovision doi jong ambonn ",nonopini
"sangat indosat kangen saya sampe2 sms saya malem2 gini ",nonopini
"rt galeri indosat cuma di jl jend sudirman depan dprd provider mslh yang penting pada komunikatif lupa bw poto ukuran postcard ",nonopini
"langsung inga pesan nenek galau ada telkomsel dan indosat anti galau prak iklan saja ",nonopini
"dengan indosat mobile free abonemen hanya perlu membayar tagihan sesuai dengan pemakaian ",nonopini
"yoo ketinggalan info mi coba galeri indosat terdekat okay didoain mobac 2011 main iklan mobac12 saya pnerusnya ",nonopini
"jual pulsa 100rb murah telkomsel 95rb indosat 90rb xl 90rb minat mention saja ",nonopini
"indosat katakan suka ",positif
"helo tweeps indosat live report langsung dari sabuga membuat geek fest bandung pantengin terussss yes ",nonopini
"ehh siapa haha telepon saya sipit akakak sms msuk dari indosat selamat mendptkan bonus ",nonopini
"maafin indosat atau maafin javelin ganti hape au bobo yuu ",nonopini
"ikuuuttt karokean besokk indosat kuuuuuu saya urus ",nonopini
"brak honda jazz honda supra tabrakan di bundaran indosat ",nonopini
"jong itu ngevote harus nomor indosat ",nonopini
"lapo pakai disensor gahoel haha we duso nyebut merk sensor rek makannya pakai indosat ",nonopini
"rasakan nikmatnya good time cookies gratis dengan mengisi pulsa indosat 50rb dan kelipatannya hanya di indomaret ",nonopini
"haha membuat pengguna blackberry indosat saatnya download lagu sepuasnya cuma rp1 100 hari rp5 500 mingu caranya tekan 889 ok pilih ",nonopini
"jam masuk kuliahnya ada pulsa mau balas kirimin nomor indosat saya sekarang pulang cepat ",nonopini
"internet socialnetwork bisa internet sepuasnya indosat senyum paket lengkap 24 jam ",nonopini
"big indosat dongg haha haha operatornya ",nonopini
"indosat bogor barat signalny melempem ",negatif
"tulung sangat fel kumat bosoke kembalikan seperti indosat ini memang jan bosok sangat ",nonopini
"doh sabar mau ke indosat pokoknya maunya kesanaaa ",nonopini
"habisin pulsa patah patahin simcard card pakai indosat ",nonopini
"ada yang pakai iphone dengan kartu indosat ini saya daftar paket internet masuk bisa internetnya ",negatif
"kos bisa nelen tower indosat ahahaha ",nonopini
"<makian> jaringan kilat terimakasih indosat download 298 kb ",nonopini
"towernya dimana mana indosat telkomsel jelas ",nonopini
"makanya pakai indosat sabar haha xl siang2 labil saja siap2 ganti provider ",positif
"samaa enak pakai telkomsel indosat ap xl mau paketan harian saja susahe masya allah ",nonopini
"kantor pusat pt indosat tbk digeledah penyidik kejaksaan agung ri menggeledah kantor pusat pt indosat tbk yang ",nonopini
"temans sekarang team indosat jakarta berada di stasiun tanah abang untuk kasih bonus pulsa 40 untuk yang reload pulsa disini ",nonopini
"cuma ke nomor indosat yang didaftarin plus bonus free 250sms ke operator pulsa diatas seribu ",nonopini
"indosat yamaha fino fotokontes deadline 15 juni 2012 ",nonopini
"mbegenggek saja mbengggbes sinyal kuat jaringan indosat lngsng sinyale duwurmen ",nonopini
"stay office kantor pusat pt indosat tbk ",nonopini
"rbt menerima untuk indosat ketik set brianovan1 untuk my angel ketik set ",nonopini
"belanja karaoke beli buku makan2 aahh bisa dapat harga spesial kalau tukerin poin indosat senyum ",nonopini
"pamer bb hebat indosat juga pending kompak sangat xl indosat ini pending bbm2 guee ",negatif
"2011 indosat kucurkan rp6 untuk pengembangan jaringan dan kualitas layanan ",nonopini
"senyum indosat ",nonopini
"sangat malah memang dstu jelek juga jaringanya betulllll indosat pending sangat ",negatif
"kenapaaa tower telkomsel dan indosat disegel warga ",nonopini
"kirim saja ke email ini legend com efektivitas promo indosat melalui twitter ",nonopini
"samperin saja pakde di rawamangun kalau ada telepon saya saja karena indosat peler bisa bbm ",nonopini
"haha iyaya saya cinta indosat haha egha gaga mbaknya malah more ",positif
"rt yang mau audisi kita tungguin galeri indosat sampai jam sore ini ",nonopini
"habis teman saya pada kebanyakan pakai indosat ",positif
"memang bbm naik paket unlimited indosat masuk 100 ribu ",nonopini
"pentungan polpp pentung pakai tower indosat saya kembali ",nonopini
"lama check niihh galeri indosat ",nonopini
"min galeri indosat daerah cibubur dimana tlong bantuannya ",nonopini
"nicxzfha salah msukin pin bbrpa hrus ke gerai indosat ke gerai indos ",nonopini
"ke daerah pejaten temans sekarang team indosat jakarta berada di stasiun ",nonopini
"numpanglewat ada saya doooh siapa yang nganter ke indosat ",nonopini
"euh indosat ketularan xl yang indosat baryaw ",nonopini
"transfer pulsa sesama indosat itu ",nonopini
"carax membuat ikutan kuis ayo mau habisin pulsa indosat ",nonopini
"sms tadi saya balas tidak-ada pulsa indosat coz ",nonopini
"nomor ponsel berhasil diisi pulsa oleh indosat empat sebesar rp 5000 regular pada 04 04 19 43 ref 856451646 haha ",nonopini
"esia teteh pakai telkomsel apa indosat dua2nya nampung ekekek drt sayangnya kartu kita berbeda ",nonopini
"rt nulis blog bisa dapat ipad2 percaya ayo ikut kompetisi bebas ngeblog bareng indosat mobile ",nonopini
"es mbayar nen indosat haha haha aseemb haha mbayar nuh ",nonopini
"pakai kartu hp apa indosat memang bisa memang di kayangan ada sinyal bidadari ",positif
"jam itu buka jam brpaan kynya kada pang pagi indosat buka kd ",nonopini
"dan nanti hadiah persembahan indosat dan ",nonopini
"beli pulsa indosat goceng nomernya via dm ",nonopini
"semoga indosat luaskan jangkauan ke daerah terpencil semarang persaingan antaroperator ",nonopini
"indosat dongrt pakai simpati ",negatif
"cuma twet ini berkesempatan dapat pulsa indosat 5ribu untuk 2orang hanya untuk follower ",nonopini
"itu poin2 indosat to saya mudeng juga poin ada berapa ",nonopini
"ke kalau pakai indosat pakai dftr2 boi monorel goes to klcc ",nonopini
"yap kartu indosat layanan indosat mobile im3 sampai indosat internet bisa nikmati dengan mudah ",nonopini
"info paket internet unlimited indosat membuat iphone berapa dan aktifinnya ",nonopini
"kata harus di ambas jaa looh bukannya tinggal ke gerai indosat saja dimanapun ",nonopini
"galeri indosat admin tmpat service nomor indosat urgenttt ",nonopini
"cs apa nek saya indosat habis kata kata dihubungkan ke operator langsung hening seada adanya putus ",negatif
"enak lak ketrimo ditempatno ndek indosat ",nonopini
"good nite tam tam haha kayakny indosat nyuruh makannnn maaf tam sepertinya indosat ",nonopini
"andy ilhamfgm makek indosat saya seumur hdp belum prnh makek indosat sabarr be ",nonopini
"haha semoga tower saya tower telkomsel dan indosat disegel warga ",nonopini
"tanpa saya galau semenjak saya pakai indosat artinya galau dimataku cuma sebatas kamseupay ",nonopini
"setia pakai indosat ",nonopini
"aheeeelaaaaah pakai indosat saya lama2 ",nonopini
"indosat sos terus ",negatif
"indosat bisa di gugat class actiion dengan uu perlindungan konsumen bb full service pending terus <makian> ",negatif
"indosat mengadakan meet greet bareng cherrybelle check this out cc ",nonopini
"aktifkan rbt vanilla beri saya waktu flexi 2014017 essia 2014017 axis 2014017 three 2014017 indosat 0645519 xl 10320266 fren 488906199 terimakasih ",nonopini
"oh indosat sukses menghambat komunikasiku ",negatif
"pakai indosat internet broom bisa internetan cepat tanpa putus didukung dengan jaringan 5g dijamin internetan wusshhhhh ",positif
"kantor indosat yang di jalan asia afrika itu di deket mana terimakasih ",nonopini
"rt hello bradah lupa ke di sabuga bandung karena ada dibooth indosat ",nonopini
"live on galeri indosat crbn kakaaaakk kangenn nch dengan berhentilah menangis benci mencinta ",nonopini
"dengan ncip baik terimakasih atas waktunya saja saya kirimnya seperti biasa indosat pndg ",nonopini
"masuk tanggal2 uang menipis mau yang hemat khawatir ada indosat mobile paket lengkap 24jam ",nonopini
"ganti indosat sinyal obat kuat ayo ganti ayo saya juga bisa smsan ",nonopini
"haha saya pernah coba indosat sami mawon masa harus pindah ke telkomsel nihhh ",nonopini
"emangnya saya cs indosat segeralah lapor ke cust service atau galeri indosat terdekat ",nonopini
"pemuda pemudi gabung ayo di komunitas indosat tekan 212 18607 tekan call yes ok gratis ",nonopini
"tidak-tahu pak saya lupa aktivasi indosat haha ",nonopini
"rt indosat jaringannya sampah bangetsih ",negatif
"bisa ndaftar sms harian lha wong radue pulsa koe indosat gangguan ini bisa sms ",negatif
"siapa saya simpati users not indosat hmmmmhhh siapa yang telepon ",nonopini
"<makian> provider kalau mau brenti langganan indosat ",negatif
"lomba fotografi indosat yamaha fino foto kontes deadline 15 juni 2012 ",nonopini
"azzz melepas kangen begitu haha telkomsel indosat sinihhh ",positif
"ikut lomba fotografi indosat ayo 30 maret jam sore tampil foto bareng dng team slalom indosat ",nonopini
"wah promo indosat senyum masuk berjalan ",nonopini
"galeri indosat bogor banjiran untung spg pada pakai rok pendek ",nonopini
"galeri indosat depan bintaro plaza pindah kemana cc ",nonopini
"pakai simpati xl teman pakai indosat juga ini provider tadi bbm teman cepat ",positif
"rt sewa film pakai sinyal indosat gratis perdana im3 berlaku hrni 18 00 22 00 ",nonopini
"jual pulsa xl indosat 100k harga 97k harga naik silahkan kalau minat malu tq ",nonopini
"kalau lihat tahun ngahaha memang begitu jaaah kalau lihat indosat center beri lntai berapa ",nonopini
"belanja jalan2 mau dapat harga spesial bisa kalau tukerin poin indosat senyum ",nonopini
"yap tbtb ada sms dari indosat ada yang kirim saya pulsa 25 rebay muah terimakasih emak ",nonopini
"axis fix ganti provider ada yang better dari xl telkomsel atau indosat saja ",positif
"mau dapat yang seger2 dapetin gratis kotak nutrisari fruit vegetable stiap pembelian pulsa indosat 50 di alfamart ",nonopini
"indosat blekberi keparat ",negatif
"telepon saja ada yang bisa sampein komplen dan rasa sebal saya ke indosat pulsa disunat terus bis langganan ",negatif
"nyoba paket bis indosat ",nonopini
"baru tadi siang 25rb hilang memang bnr2 indosat ngisi berapa juga pasti ",negatif
"kapan indosat paket browser yang murah dibawah 100 000 provider lain gencar promo paket web murah ",nonopini
"pulsaku hilang meneh kakeane indosat ini seng kepindo meh komplen malah saya seng wedi enten enteni kog malah ono sms koyo wingi ",negatif
"ingin dptin 250rb ikutan saja quiz indosat senyum di jam sore jawab pertanyaan brkt ",nonopini
"indosat nomor service kabel charger laptop rusak program error wonderful life terimakasih god ",nonopini
"haha im3pekanbaru sman1pekanbaru yuuuk ikutan kita tunggu galeri indosat wakil dari sma baru ",nonopini
"sikatttttttt indosat nawarin kerjaan ",positif
"temans sekarang team indosat jakarta berada di stasiun tanah abang untuk kasih bonus pulsa 40 untuk yang reload pulsa disini ",nonopini
"benefit dari mitra indosat khusus membuat ",nonopini
"haha iklan galau pakai im3 seruuuu cuma indosat galau perasaan hari ",nonopini
"888 donggrt hari gini masuk 388 ehm indosat bisa ",nonopini
"indosat tahun nurutan xl ning awon ",nonopini
"pergi ke tempat yang sinyal indosat kacau saatnya hape berubah fungsi jadi mp3 player only okeehh ",negatif
"sama seperti sinetron escetepe sponsor im3 saat telepon nomor di hpnya xl tvone sponsornya indosat saat presenternya ",nonopini
"kita ini harus jdi yang fleksibel seperti kartu indosat kartu bisa menggunakan paket kartu semau ",positif
"saya 0857 masuk bisa membuat im3ers pekanbaru link sms indosat trouble nomor im3 yang bisa melakukan sms hanya nomor 0856 ",nonopini
"pindah dukomsel permisi galeri indosat yang di bec masuk ada kalau biasanya buka sampai jam berapa ",nonopini
"itu er nomerku satunya dijual indosat ",nonopini
"ok sayangg wynda juga bisa ka wynda sekarang di indosat juga klak senin ola bantu ka dkppo sayang ",positif
"mentari ataupun m3 itu sama2 indosat mbem kuning mentari ",nonopini
"haha indosat donggzz tl indo it malam ngiklan orang haha ",nonopini
"indosat mobile bagus ",positif
"guys kalau pulsamu hilang karena layanan berlangganan laporin saja ke contac center indosat indosat siap membantu ",nonopini
"nyoba pakai indosat ",nonopini
"minta tolong nomor customer service indosat ",nonopini
"kalau dia pakai indosat makanya error terus macam orgnya ",negatif
"dari tadi siang yang pakai indosat pada delay ",nonopini
"yaaah nomerku xl pot indosat ingin ditelfon ",negatif
"provider pux nt apa kalau disini m3 jelek indosat im3 sen ",negatif
"chu ada yang pakai iphone dengan kartu indosat ini saya daftar paket internet masuk bisa internetnya ",negatif
"cacat juga parah malahrt pakai yang merah mknya agar pedas pimpinan interupsi pimpinan indosat tlong sinya ",negatif
"rt anak indosat laaaaah ",nonopini
"bis full indosat rp 45 000 ayooo tebak tebakan nama paket bb indosat yang cuma rp 45 000 saja apa hayooo ",nonopini
"pulsaku habis boros sangat indosat ",negatif
"menuntut hak galeri indosat ",nonopini
"ternyata acara indosat terbagi2 bogor dan bandung ",nonopini
"lumanyan lama indosat gangguan ",negatif
"kmren hari jumat saya ketemuan bekasi diaa haha masa een lupaa anak indosat skarang telkomsel dia ul ",nonopini
"biarin kerja spg indosat kalau datang pulang dijemputnya pakai mobil mercy terus ",nonopini
"ada saya pakai indosat juga mbk bnyakk ini huahhh ada nomor m3 ",nonopini
"kartu yang pokok isa membuka hatimu untukku indosat saya ",nonopini
"aduh ang follback den itu mangkonyo pakai indosat wka jaringan kuat xl cacat ",positif
"selaen itu juga bisa dipake modem 3g maupun cdma terus support telkomsel indosat xl smart operator lain ",nonopini
"mau anterin saya ke galeri indosat ",nonopini
"telpon2an yook saya lor indosat dapat bonus telepon 50 menit bingung siapa ",nonopini
"ktemu indosat pakai itu telkomsel haha ",nonopini
"nomernya ganti indosat apa simpati ",nonopini
"dear bisa telepon contact center 24 jam indosat yaitu 100 dari im3 dan mentari 111 dari matrix dan starone 021 54388888 tks ",nonopini
"karena naikin harga bbm pastinya polri periksa petinggi xl dan indosat ",nonopini
"oleh piro koen megi oleh 175 ewu jare ini mau telpun haha rek sakno indosat ini ",nonopini
"haha untuk android bisa pakai indosat internet gaul browser dengan sms ke 363 or 363 terimakasih info ",nonopini
"memang indosat ada sinyal saya ada wk ",positif
"kuis indosat dia menang apa ",nonopini
"opa apa kabar mau ngurus simcard indosat ",nonopini
"ayo ayo yang belum follow like fanpage spectaculars indosat cepat di follow ",nonopini
"aktifkan ring indosatmuu ring kece tersedia di ",nonopini
"crut enak rasanya waksksks lupakan indobangsat pakai yang psti mau waksks indosat <makian> pulsa ",negatif
"tidak-ada pulsa dia nomor indosat ndelah disuruh cwo juga telepon saya nomor ",nonopini
"masa ada di pku ada galeri indosat ",nonopini
"lagian pakai xl indosat dongs ",nonopini
"rt talkshow indosat mobile mencari penghasilan tambahan kamis 12 april makassar hub ",nonopini
"mencari bukti jaksa geledah kantor pusat indosat tim jaksa penyidik pada jaksa agung muda pidana khusus jampids ",nonopini
"lebay ay ay ay nomor m3 saya diteror orang ditelpon dan bicara harus ke indosat blokir ",nonopini
"info gerai indosat daerah serpong min ",nonopini
"deat indosat hari ini koneksi gangguan apa m3 m2 saja ",negatif
"indosat ",nonopini
"barbra streisand movie album otw galeri indosat nuker simcard card yang selalu rejected ",nonopini
"saya gratis telepon ke sesama indosat hampir setahun berhenti juga ",nonopini
"haha tower telkomsel dan indosat disegel warga ",nonopini
"bukannn haha ke yang cri prnh telepon pakai indosat ",nonopini
"new mess him indosat yang sms saya wibi poke ",positif
"kapan om ikut ikuti talkshow mencari penghasilan tambahan indosat mobile bicara rencana ",nonopini
"anak indosat laaaaah ",nonopini
"apn indosat sesuatu sangat berharap tere marah pakai apn opo kw more ",nonopini
"akh iklan galau pakai im3 seruuuu cuma indosat galau ",nonopini
"kena juga asuw pancen moso ngerti2 tanggal rp padahal tuku indosat ndlogok ojo nyedoti pulsa cuk ",negatif
"kerjaaaaa galeri indosat ",nonopini
"saham indosat 100 pengusaha asing di singapura tv xl yang indo pakai yang ",nonopini
"jawaban adalah indosat poin plus plus ",nonopini
"rt come and join us now band frenoises heart coffee jl cipto 40b indosat ",nonopini
"luwik ada yang mau kenalan cs indosat ",nonopini
"xl indosat ",nonopini
"alhamdulillah saya mendapatkan pulsa dari indosat 50000 padahal saya blom beli pulsa ",nonopini
"haha abs cemungud sich drt masuk saja belum move on ada yang rumah indosat ",nonopini
"ya tuhan indosat waro napaaa ",negatif
"saya saranin menit lihat sms takutnya ada yang sms indosat ",nonopini
"jam jamber tan drt ralat axis xl dan indosat ",nonopini
"demi allah sebal sangat indosat saya kirim 3x sms membuat ganti paket di bales2 sampai sekarang sepetseresss ",negatif
"gempa aceh membuat lintas indosat terganggu gempa yang terjadi di aceh rabu 11 2012 mem ",nonopini
"bb saya inactive terimakasih to indosat custm srvc advise yang suruh switch ke manual nomor work all bantuiiiiiin ",nonopini
"cara setting modem apn internet indosat im2 ",nonopini
"kmren saya dapat sms dari layanan indosat yang intinya saya masuk dalam communiti mksd more ",nonopini
"done kita tunggu galeri indosat followback admin ",nonopini
"ini indosat bermasalah masa tiba2 aktif paket bbnya ",negatif
"min grapari indosat minggu buka min thnks ",nonopini
"promosii haha langsung ganti paket indosat ",nonopini
"mangkanya pakai axis indosat bapet membuat emosi lama ",negatif
"rt ini kalau ada talent anak mudanya jadi indosat sangat ",nonopini
"setuju galau paket bb mahal bisa pakai bb gaul indosat sebulan cuma 45rebu ",nonopini
"rt mau hp dari indosat share pengalaman serunya remote working ribetnya kerja kantoran ke com subject ",nonopini
"indosat xl jaldi pakai xl hahahahaa habis wee ",nonopini
"rt perlu begadang untuk menikmati kelancaran koneksi internet dengan indosat internet kapanpun bisa menikmati koneksi cepat ",positif
"amin kalau saya tajir ini orang indosat ",positif
"wktu itu menang kuis pulsa yang dari indosat dapat blom pulsa ",nonopini
"haha saya otomatis tuhrt ini indosat mentari bisa perpanjangan bis ",nonopini
"rt permisi galeri indosat yang di bec masuk ada kalau biasanya buka sampai jam berapa nuhun ",nonopini
"serunya happening art indosat mobile ayo siap2 lihat di jalan seputaran bdg bakal seruu ",nonopini
"hapenya yang di ganti ini simcard card ganti ke gallery indosat tetap saja kalau ",nonopini
"lapor rw setempatrt indosat mencuri pulsaku tiibatiba hilang ",negatif
"rt pakai indosat internet broom bisa internetan cepat tanpa putus didukung dengan jaringan 5g dijamin internetan wusshhhhh ",positif
"salhasyafiqah salha syafiqah coba chek tarif internet cepat dari indosat ",nonopini
"ada meet greet cherrybelle dari indosat membuat yang di ",nonopini
"tq jer ati ati berikan yang luar biasa di sana flight to pangkal pinang indosat lounge ",nonopini
"apalagi itu pakai indosat makanya tahun estudiii masuk belum bisa daftar ini telkomsel ",positif
"kalau indosat broom bisa dipakai dengan kartu im3 terus apa unlimited juga trima kasih sebelumnya ",nonopini
"mau setia xl dia haha suruh ganti indosat fen haha kakak saya saja gupek haha ",nonopini
"taking vocal untuk draft iklan indosat mobile xd ",nonopini
"mau malah nang sutos sing nggae im3 sinyal serasa pemadaman sinyal bergilir pending juara dahh indosat ",nonopini
"cc kalau ada telepon saya saja karena indosat peler bisa bbm ",nonopini
"awas lw nanya2 buangmuke kalau begitu lempar granat ke kantor indosat saja haha gloriasaragi nyeebuutt2 mok haha ",nonopini
"internet murah tanpa batas dengan indosat internet ",nonopini
"tukokke ipad nyep buang saja waahh indosat internet jingukk tenan ",nonopini
"3g jevelin yang khusus indosat bebenya apa dipunyaku ",negatif
"yuuuk ikutan kita tunggu galeri indosat wakil dari sma baru cc ",nonopini
"lewat saja sanah haha xl lewaatt indosat lewaatt masuk jaman xl ",nonopini
"100 1000 1000 ada yang call center indosat m3 ",negatif
"cuma twet ini dapat berkesempatan dapat pulsa indosat 5ribu untuk 2orang ",nonopini
"rt ikuti tryout snmptn online gratis tanggal 30 maret dari paseban dan indosat berhadiah total 30 juta cek di ",nonopini
"kok langganan masuk jalan tumben indosat baik ",positif
"hari gini masuk galau langsung saja ketik 888 penawaran khusus dari indosat ",nonopini
"sekarang bbm aqu bisa sayaangquu lambreta ciiiin ke kekirimnya tauu ini indosat mauunya apa ynkquu tepokjidat ",negatif
"haha bisa saja kadal drt karena dia saya pakai indosat haha main ",nonopini
"kawan2 pngguna indosat mohon infonyahh kalau mau mnghubungi customer service indosat kemana terimakasiiih sblumnyaa ",nonopini
"wkkwkwk ada san iklan indosat ",nonopini
"bobo goodnite all have nice dream sampai ketemu di indosat event on ciputra mall tomorrow ",nonopini
"sbsquad ft ckz 111231 boyband medley cover dance indosat kpop part lewat ",nonopini
"rt sangat labil indosat ",negatif
"ikan koi apaan yang kepancing sabar nanti juga kepancing ini yang salah xl apa indosat tiap ",nonopini
"sama ada sinyal telkomsel indosat ini rs apa hutan coba ",negatif
"ganti provider git ini indosat sinyal edge terus guna pakai 3g <makian> ",negatif
"indosat genjot kapasitas jaringan hingga akhir tahun 2011 operator seluler indosat melayani dari ",nonopini
"nomor indosat kita error contact xl 087764433574 ",negatif
"kampung kami belum hadeeh tweeps fyi indosat terus tingkatkan kapasitas jaringan dan ",nonopini
"poke daftar training fotografi di indosat training center jatiluhur di ",nonopini
"aplikasi operam malam ini saya mau upload operamini silahkan didownload opmin indosat zip ",nonopini
"sangat mnyebalkan adlh ketika indosat ngambil pulsa saya dengan jmlah yang sdikit mendekati jmlh sharusnya jatah paket internet sbulan rawr ",negatif
"sore malang dapatkan koleksi terbaru dari kami bagi kalian pengguna indosat dapatkan diskon 25 ",nonopini
"simpati harus indosat dan xl haha ",nonopini
"enak dlink masuk bisa bca hp ada yang bca kbyang kalau indosat ada ada wif ",nonopini
"rt come on invite this fanpage indosat go green https co uvxkbq5b and don forget to follow twitter terimakasih ",nonopini
"ayo midun juga mau ikut ada cuma main akustik biasa di booth indosat di stage ",nonopini
"mari diaktifkan rbt indahnya dirimu telkomsel dahau indosat 0643817 xl 10134427 ceria esia flexi axis 0811114 ",nonopini
"sbsquad ft ckz 111231 boyband medley cover dance indosat kpop part lewat ",nonopini
"jawabannya adalah program indosat senyum ",nonopini
"terimakasih di indosat jdi apa rozenya siyaaap ",nonopini
"gaa kerja ini anak ekekekkkk with worrrrkkkking indosat kelapa gading pic ",nonopini
"panteslah wkwkwkw dibayarin pulsa juta coy haha dibyr berapa dengan indosat coy ",nonopini
"jawabannya adalah indosat senyum ",nonopini
"saya maunya xl muhsin 31 indosat ke telkomsel ryanbipapihcapi xl ke ",nonopini
"dari pnglmn kalau saya diganti simcard card di gerai m3 protes ti saya saja pernah protes krim email ke indosat ",nonopini
"ada apa dengan indosat ",negatif
"maaf saja haha beh kalau saya ada kamera temenin ke galeri indosat mau ",nonopini
"follow like fanpage spectaculars indosat dongs ayo yang ganteng ganteng cantik cantik ",nonopini
"ngantukkk membuat kaki pegel chaiiaja kunjungan galeri indosat dukomsel ",nonopini
"rt hate slow hate xl hate telkomsel hate indosat aaarrgghhhh ",negatif
"rt ada pameran indosat mobile di shopping street nagoya hill tanggal 11 april 2012 ",nonopini
"hmm indosat mulai sedat sedot pulsa seenak tuyul dih ",negatif
"tower indosat roboh ",nonopini
"bbm naik masuk 2rb hari bisa pakai indosat bbm itu <makian> ",negatif
"pakai kartu indosat kartu bisa untuk pilih sendiri paket yang mau ",nonopini
"pukpukpakehape sekalinya dapat sms dari indosat ",nonopini
"mau lihat chikin 50 finalis indonesian idol 2012 mulai jam 15 00 saksikn big dgaleri indosat cirebon ",nonopini
"sayang ganti tahun indosat ganti sxan kembalikan im3 seperti ",nonopini
"itu pdip semangat sangat anti naik bbm memang mega waktu itu naekin naekin bbm jual indosat blbi ",nonopini
"with worrrrkkkking indosat kelapa gading pic ",nonopini
"cc ada meet greet bareng cherrybelle dari indosat caranya klik ",nonopini
"yaallah hhhe itu acara dari indosat gratis buuu jauh amat yang dibekasi ",nonopini
"di indosat tehhh krja dmna istighfar saja tehh alhamdulillah ",nonopini
"<makian> indosat makan pulsa <makian> bbon my ass ",negatif
"caranya kalau mau ganti operator jika sblmnya blackberry email terdaftar di bis indosat ",nonopini
"ini iklannya indosat jelek sangat botak bgitu salah pilih itu ",negatif
"ora metu sinyale genah opo put indosat ini tmbh suwi tmbh genah blas ",negatif
"ketik gaul spasi harian mingguan bulanan untuk mengaktifkan paket indosat internet gaul di nomor indosat ",nonopini
"tguh mbe mbee tahun di indosat mbe ",nonopini
"berarti bakso arema best seperti iklan indosat itu gratis gratis apany adaa cuma serasa dari malang saja ",nonopini
"hujan gini indosat tetap lancar padahal hari ini saya mau murtad ke xl jadi ",positif
"sekarang quiz indosat senyum sdg on air yang ingin dapat 250rb ayo jwb pertanyaan ini mengumpulkan poin indosat senyum ",nonopini
"saya di telepon admin saya menang nobar bareng dinda kirana dan rendy samuel terimakasih indosat ",nonopini
"ih bisa dikira smsnya cpa trnyta indosat ",negatif
"gawe indosat anti galau galau ",nonopini
"auk ikuti tryout snmptn online gratis tanggal 30 maret dari paseban dan indosat berhadiah total 30 juta cek di ",nonopini
"marahi yang operator indosat madaki gara dio kito dak biso telponan yang ",negatif
"indosat ntik ",nonopini
"indosat parah sangat ",negatif
"saya mau riset di indosat dikiranya saya mau kkn qees makanya saya tanya kkn apaan ada apaan ",nonopini
"penyidik kejagung geledah kantor indosat via ",nonopini
"hayooo indosat pada tidak-bisa sms yaaah untung gaada smsan buahahahahahahahahahahahahahahahahaaaaaa ",nonopini
"mencari googling mau angkat penelitian ttg indosat perkembangannya yang baru demi apa ",nonopini
"sakit indosat masa sinyal bb saya gsm arggggh <makian> ",negatif
"wes biasa tower telkomsel dan indosat disegel warga ",nonopini
"paket bundlingnya samsung galaxy series harus pelanggan indosat yang baru hrusnya pelanggan yang lama bisa ",negatif
"diskon bakso rusuk huahaha indosat poke ",nonopini
"baik saya kesana nanti yang didepan indosat maaf kalau yang di sman nggakbisa ada acara ",nonopini
"cc pnjfair bank bii amerta indah otsuka indosat fondaco mitra tama bank ",nonopini
"indosat benarkan penggeledahan di kantor pusatnya ",nonopini
"ngapain ke indosat rame ke indosat amel mau ikut ",nonopini
"ncel cuma di urus ke indosat maksud nyaaa ",nonopini
"rt kacau indosat mau dapat pacar kalau pedekate didukung dengan sinyal bagus this bullsh ",negatif
"jadi ada ini yang pakai indosat untuk iphone ada yang pakai indosat untuk iphone using telkomsel now ",nonopini
"beli perdana indosat dsni pakai card lama dapat sos like it ",nonopini
"ada di wtc serpong di bsd ada gerai indosat ",nonopini
"semprot saja indosat sebal amat sering sangat seperti begitu hadeh hadeh ",negatif
"sekolah saya ganti sponsor jadi xl bagus2 indosat ",nonopini
"weeeeeehh ing pulsa saya habis cuma karena buka appworld indosat total hampir rp 20 000 ",nonopini
"ternyata indosat anuan juga ",negatif
"aktifkan rbt yuuks kode rbt jodoh t2 telkomsel flexy esia smart axis 5514385 indosat 063810899 xl 10130288 ",nonopini
